red,green,blue,ambient,width,label
724.70,575.70,537.00,457.60,28,unripe
723.60,574.40,538.30,460.60,28,unripe
723.50,574.90,537.20,457.40,28,unripe
722.50,571.60,533.10,453.30,28,unripe
722.90,574.40,536.90,457.60,28,unripe
723.40,575.20,536.80,456.20,28,unripe
722.30,579.70,554.90,529.20,28,unripe
798.30,702.00,678.30,621.00,28,unripe
812.40,704.60,676.60,618.50,28,unripe
808.60,700.70,675.60,618.40,28,unripe
810.40,703.50,679.40,622.90,28,unripe
811.20,701.00,677.00,622.90,28,unripe
809.10,700.10,678.70,623.80,28,unripe
807.50,695.00,665.40,607.50,28,unripe
805.80,696.30,670.30,612.20,28,unripe
809.40,703.80,676.40,616.00,28,unripe
807.70,696.00,666.30,608.00,28,unripe
805.90,695.00,668.00,610.60,28,unripe
805.10,692.30,665.10,604.90,28,unripe
801.60,689.20,662.30,605.80,28,unripe
809.90,704.70,680.40,621.40,28,unripe
814.20,683.80,646.80,563.40,28,unripe
760.40,653.00,644.70,616.80,28,unripe
809.60,697.90,669.70,611.00,28,unripe
805.80,696.20,672.00,614.80,28,unripe
808.60,702.20,679.60,626.70,28,unripe
815.10,706.40,677.00,621.00,28,unripe
814.20,709.00,684.80,629.60,28,unripe
816.50,709.60,683.50,628.50,28,unripe
815.60,710.00,685.20,630.20,28,unripe
811.50,699.80,672.40,616.20,28,unripe
807.70,697.90,672.20,611.30,28,unripe
802.50,687.30,660.40,603.50,28,unripe
802.40,688.80,660.40,602.40,28,unripe
801.40,690.20,663.30,604.70,28,unripe
801.70,688.20,656.30,595.60,28,unripe
802.30,705.60,681.00,622.50,28,unripe
814.60,711.20,687.80,633.70,28,unripe
817.60,712.30,687.30,632.40,28,unripe
817.50,711.30,686.00,630.30,28,unripe
815.90,710.00,685.20,631.50,28,unripe
817.70,712.70,688.20,634.40,28,unripe
818.40,713.00,688.30,633.80,28,unripe
818.50,711.20,681.90,623.00,28,unripe
801.70,686.30,665.10,619.40,28,unripe
817.20,718.00,695.90,642.80,28,unripe
823.90,721.40,697.70,644.90,28,unripe
824.00,720.70,696.40,643.10,28,unripe
823.40,713.40,681.80,640.30,28,unripe
822.10,718.50,694.20,640.40,28,unripe
821.90,717.60,693.30,639.70,28,unripe
821.60,716.60,693.90,643.10,28,unripe
823.70,720.70,697.10,644.20,28,unripe
823.90,720.60,696.60,643.40,28,unripe
823.70,720.60,696.50,643.40,28,unripe
823.30,719.80,695.60,641.60,28,unripe
821.40,714.90,693.00,641.60,28,unripe
823.70,720.80,696.20,569.30,28,unripe
804.20,717.70,696.10,643.20,28,unripe
823.30,719.90,695.90,642.40,28,unripe
823.50,720.50,696.40,643.40,28,unripe
823.60,720.20,697.00,644.00,28,unripe
823.80,720.90,697.00,643.90,28,unripe
823.90,720.90,696.70,643.40,28,unripe
823.50,720.10,696.50,643.70,28,unripe
823.40,720.10,696.30,643.30,28,unripe
823.20,720.20,696.40,643.40,28,unripe
823.40,720.90,697.20,644.30,28,unripe
823.80,720.10,695.10,642.10,28,unripe
822.40,719.10,695.80,643.60,28,unripe
823.50,720.60,696.70,643.90,28,unripe
823.70,720.60,696.80,643.70,28,unripe
823.70,720.90,696.80,642.50,28,unripe
823.60,720.40,696.00,639.20,28,unripe
816.70,708.90,683.40,629.20,28,unripe
816.40,712.10,687.40,633.70,28,unripe
814.10,698.30,669.00,605.00,28,unripe
789.20,658.80,622.80,558.00,28,unripe
774.40,648.00,619.00,560.60,28,unripe
772.20,656.50,623.30,553.30,28,unripe
767.90,640.20,634.60,561.00,28,unripe
777.00,656.50,628.20,564.70,28,unripe
779.20,654.30,622.00,556.60,28,unripe
766.00,635.70,622.40,570.10,28,unripe
789.70,674.60,648.70,589.90,28,unripe
793.80,677.80,650.10,589.80,28,unripe
793.80,677.40,649.60,589.60,28,unripe
793.70,676.70,649.20,589.40,28,unripe
793.30,676.70,648.60,588.10,28,unripe
792.70,676.00,649.70,590.70,28,unripe
794.50,678.60,650.30,589.50,28,unripe
793.00,671.60,647.40,588.40,28,unripe
496.10,272.10,265.40,248.80,28,ripe
522.10,286.90,274.60,254.30,28,ripe
528.60,288.30,274.60,254.10,28,ripe
531.20,288.80,274.90,252.60,28,ripe
531.70,287.70,273.70,253.00,28,ripe
534.30,292.20,278.60,256.70,28,ripe
535.60,291.50,277.20,254.90,28,ripe
535.00,290.50,277.00,254.80,28,ripe
535.40,290.90,276.80,254.90,28,ripe
535.90,291.10,277.00,254.90,28,ripe
536.10,291.40,277.60,255.10,28,ripe
536.30,291.10,276.80,254.90,28,ripe
536.30,291.40,277.80,255.40,28,ripe
536.60,290.90,277.10,254.80,28,ripe
536.40,290.80,276.50,255.00,28,ripe
536.70,291.20,277.30,254.60,28,ripe
536.60,291.30,277.20,255.10,28,ripe
536.60,290.80,276.20,254.30,28,ripe
536.80,291.80,278.00,256.10,28,ripe
537.60,291.90,274.90,244.60,28,ripe
530.50,281.30,266.90,246.20,28,ripe
531.20,281.50,269.20,249.60,28,ripe
533.10,284.30,266.80,242.60,28,ripe
527.30,277.10,264.50,243.20,28,ripe
530.80,284.90,272.00,249.30,28,ripe
535.40,290.60,276.70,254.80,28,ripe
536.60,291.40,277.30,254.50,28,ripe
537.10,294.20,279.50,256.90,28,ripe
537.60,292.10,277.10,255.20,28,ripe
536.80,290.10,276.60,254.70,28,ripe
538.10,292.80,278.90,255.70,28,ripe
538.00,292.30,277.30,254.50,28,ripe
537.90,293.50,279.90,257.80,28,ripe
539.90,296.80,284.00,259.90,28,ripe
540.50,297.80,282.30,260.80,28,ripe
541.20,296.00,280.10,255.70,28,ripe
538.80,293.70,282.10,262.40,28,ripe
542.20,299.30,285.30,254.20,28,ripe
520.80,249.60,202.70,174.90,28,ripe
478.70,197.80,175.00,153.70,28,ripe
471.00,199.00,180.60,159.20,28,ripe
471.80,200.80,163.40,116.90,28,ripe
441.30,174.30,190.40,215.10,28,ripe
521.80,285.70,275.50,253.30,28,ripe
528.30,274.40,256.50,234.30,28,ripe
521.20,269.20,253.30,233.10,28,ripe
523.30,274.10,259.30,239.20,28,ripe
527.00,275.40,252.80,224.90,28,ripe
510.20,262.40,252.10,235.30,28,ripe
523.30,278.10,261.80,245.20,28,ripe
527.00,284.50,280.10,264.30,28,ripe
544.70,311.40,299.90,278.30,28,ripe
526.80,262.70,242.70,225.40,28,ripe
534.60,305.40,294.50,265.20,28,ripe
556.10,331.30,316.50,294.90,28,ripe
536.60,253.10,220.30,270.80,28,ripe
557.20,333.90,320.70,300.90,28,ripe
563.50,333.90,321.50,300.10,28,ripe
563.60,333.30,321.30,300.70,28,ripe
564.40,333.80,321.10,300.60,28,ripe
564.20,331.90,297.80,238.10,28,ripe
513.50,241.60,237.10,248.50,28,ripe
540.00,307.70,303.70,284.80,28,ripe
555.20,323.90,308.40,274.50,28,ripe
534.50,287.30,279.20,244.90,28,ripe
520.50,256.40,237.60,230.30,28,ripe
530.80,306.70,306.00,299.40,28,ripe
569.10,345.10,338.00,315.20,28,ripe
556.60,304.90,290.50,276.50,28,ripe
553.10,317.80,258.80,138.30,28,ripe
447.20,148.20,124.90,80.40,28,ripe
413.00,121.70,99.90,75.80,28,ripe
409.80,126.70,104.10,81.90,28,ripe
411.40,131.20,108.80,83.40,28,ripe
410.30,131.00,109.30,84.10,28,ripe
411.90,140.20,124.70,96.80,28,ripe
420.70,149.30,127.30,102.30,28,ripe
422.10,148.10,127.80,104.30,28,ripe
423.50,146.80,122.70,93.70,28,ripe
415.60,137.00,123.70,112.30,28,ripe
429.70,154.30,126.10,97.40,28,ripe
420.20,138.30,115.20,230.10,28,ripe
521.40,303.60,293.00,272.00,28,ripe
543.10,317.30,306.30,279.30,28,ripe
544.80,314.70,285.60,160.80,28,ripe
475.40,187.90,187.60,104.30,28,ripe
383.50,65.60,32.80,8.20,28,ripe
335.90,59.60,31.40,7.90,28,ripe
325.30,56.60,30.40,7.70,28,ripe
320.70,56.20,29.60,7.30,28,ripe
317.50,55.80,29.70,7.40,28,ripe
315.40,55.50,30.10,7.80,28,ripe
313.90,55.50,30.10,6.90,28,ripe
312.20,54.60,28.70,7.20,28,ripe
310.40,54.30,29.50,7.20,28,ripe
310.60,55.00,29.80,7.60,28,ripe
310.50,54.90,29.30,7.70,28,ripe
310.10,54.80,29.70,7.00,28,ripe
309.60,55.10,30.00,7.20,28,ripe
308.80,54.20,30.00,6.90,28,ripe
308.90,54.30,29.90,7.10,28,ripe
309.00,54.40,28.80,7.60,28,ripe
308.40,54.90,29.70,7.20,28,ripe
308.50,54.50,30.00,7.20,28,ripe
308.50,54.70,29.30,7.50,28,ripe
308.20,54.90,29.30,7.40,28,ripe
308.20,54.60,29.40,7.20,28,ripe
307.80,54.20,29.40,7.30,28,ripe
307.40,54.30,29.80,7.20,28,ripe
308.10,54.70,29.10,7.10,28,ripe
307.50,54.10,28.50,7.30,28,ripe
307.50,54.30,29.60,6.60,28,ripe
307.20,54.60,30.30,32.60,28,ripe
450.50,278.90,294.00,287.40,28,ripe
536.60,326.30,319.00,300.90,28,ripe
544.30,311.60,286.90,256.50,28,ripe
525.10,284.50,273.00,255.40,28,ripe
535.10,303.20,290.60,269.80,28,ripe
541.30,305.40,290.50,265.50,28,ripe
538.00,297.00,283.30,260.90,28,ripe
538.10,298.00,284.50,262.10,28,ripe
538.50,297.50,283.30,259.90,28,ripe
537.80,295.40,282.10,259.50,28,ripe
537.70,296.40,283.10,261.10,28,ripe
539.70,298.30,285.30,263.70,28,ripe
541.30,299.50,286.40,265.40,28,ripe
543.20,303.00,288.30,265.60,28,ripe
543.40,301.80,287.30,264.30,28,ripe
542.10,299.80,285.90,263.00,28,ripe
541.90,297.00,282.20,259.80,28,ripe
539.90,296.20,282.90,261.40,28,ripe
542.00,302.00,288.10,266.00,28,ripe
543.90,302.70,288.90,266.20,28,ripe
543.30,300.60,286.90,266.20,28,ripe
545.00,305.40,292.40,273.00,28,ripe
550.90,314.40,301.90,280.60,28,ripe
553.80,316.30,303.40,281.70,28,ripe
554.20,316.60,303.60,281.80,28,ripe
614.00,373.00,361.30,333.50,28,ripe
