red,green,blue,label
648.60,565.30,556.80,ripe
648.00,565.80,557.60,ripe
646.80,569.60,560.20,ripe
643.30,566.70,558.80,ripe
638.80,563.60,561.30,ripe
639.80,575.20,567.70,ripe
640.30,577.20,568.30,ripe
640.10,573.00,566.30,ripe
640.90,575.70,568.70,ripe
638.90,569.30,562.00,ripe
635.80,570.20,564.50,ripe
640.50,576.40,572.40,ripe
644.40,591.00,582.00,ripe
650.20,576.70,563.30,ripe
647.30,571.70,564.00,ripe
645.60,575.70,567.90,ripe
647.80,577.80,572.10,ripe
647.10,578.30,574.00,ripe
646.30,584.20,576.80,ripe
648.10,584.70,575.30,ripe
649.60,580.50,571.00,ripe
654.60,568.30,560.70,ripe
653.10,568.20,557.20,ripe
653.80,568.90,560.40,ripe
654.00,570.30,559.50,ripe
654.60,562.40,553.60,ripe
654.00,561.60,551.90,ripe
653.30,570.00,561.80,ripe
656.60,569.80,560.90,ripe
656.40,571.40,563.60,ripe
657.90,574.10,567.90,ripe
658.20,577.20,568.80,ripe
658.90,579.60,570.40,ripe
659.50,578.00,569.20,ripe
658.50,575.10,564.10,ripe
665.80,558.30,540.10,ripe
686.70,581.30,574.90,ripe
717.90,583.70,529.30,ripe
679.30,541.60,526.00,ripe
676.50,542.40,538.00,ripe
686.20,557.20,534.80,ripe
683.00,543.60,525.80,ripe
685.40,545.50,530.00,ripe
685.60,546.90,531.00,ripe
684.50,545.30,528.90,ripe
682.20,541.80,527.10,ripe
681.30,540.80,522.40,ripe
678.90,539.10,532.30,ripe
687.80,561.10,548.90,ripe
688.80,563.90,552.60,ripe
689.80,564.10,548.70,ripe
752.50,697.60,695.10,unripe
719.40,660.30,656.40,unripe
745.80,675.70,677.80,unripe
776.80,715.50,702.90,unripe
813.20,749.10,746.80,unripe
818.90,755.80,748.90,unripe
829.60,769.30,758.70,unripe
834.90,771.20,759.30,unripe
834.80,770.10,757.90,unripe
835.00,770.00,756.80,unripe
832.00,766.10,754.10,unripe
831.60,766.20,753.50,unripe
831.20,764.10,755.50,unripe
834.30,767.70,751.60,unripe
828.20,765.90,752.00,unripe
825.70,758.10,745.30,unripe
821.80,757.60,742.80,unripe
820.30,756.50,745.40,unripe
821.40,757.10,744.90,unripe
810.50,743.30,737.70,unripe
820.90,754.80,739.00,unripe
828.50,767.90,763.20,unripe
806.30,746.80,746.20,unripe
817.20,764.20,749.10,unripe
804.70,740.50,726.90,unripe
792.70,728.50,709.80,unripe
783.40,722.80,713.00,unripe
787.50,724.80,715.00,unripe
790.00,731.50,720.70,unripe
796.70,735.70,725.00,unripe
800.50,738.90,727.60,unripe
801.70,725.60,705.90,unripe
766.80,708.80,702.80,unripe
777.30,722.40,719.00,unripe
790.60,735.90,733.70,unripe
803.90,748.50,738.50,unripe
806.50,752.90,746.30,unripe
814.10,763.60,756.30,unripe
819.10,768.00,749.20,unripe
805.00,756.90,751.80,unripe
815.30,767.90,761.40,unripe
823.30,773.90,765.60,unripe
826.70,777.00,769.20,unripe
829.90,779.30,771.10,unripe
831.80,783.40,774.60,unripe
833.50,787.00,780.70,unripe
838.60,790.00,780.70,unripe
836.60,785.60,780.10,unripe
839.00,792.50,769.90,unripe
827.10,801.30,790.00,unripe
830.60,784.50,767.90,unripe
826.10,777.90,785.80,unripe
855.40,793.50,794.90,unripe
860.20,798.70,783.80,unripe
851.40,784.30,771.50,unripe
841.90,775.40,763.00,unripe
839.70,776.90,766.00,unripe
842.20,778.10,771.20,unripe
847.30,780.30,768.20,unripe
843.00,786.50,784.10,unripe
856.70,801.00,797.20,unripe
876.10,820.00,813.30,unripe
881.80,827.10,823.50,unripe
891.30,840.00,832.80,unripe
889.50,841.00,834.70,unripe
893.30,843.90,838.50,unripe
900.90,852.70,846.60,unripe
902.80,853.50,847.30,unripe
904.30,856.50,849.70,unripe
905.80,856.80,849.60,unripe
905.50,856.20,849.80,unripe
904.80,855.80,848.20,unripe
905.70,856.90,848.80,unripe
905.20,860.40,854.20,unripe
909.00,861.70,856.40,unripe
912.90,864.60,855.60,unripe
911.10,862.00,853.60,unripe
909.80,861.40,859.30,unripe
918.20,883.80,881.00,unripe
923.90,886.40,881.20,unripe
923.00,886.40,881.80,unripe
925.40,889.40,883.80,unripe
923.40,882.40,880.20,unripe
920.40,884.90,878.30,unripe
921.00,892.00,875.50,unripe
930.10,895.10,892.60,unripe
934.00,902.20,896.40,unripe
928.50,890.60,884.90,unripe
934.80,900.20,894.70,unripe
931.30,900.70,899.50,unripe
938.90,904.20,900.20,unripe
937.80,904.50,900.60,unripe
938.50,905.30,901.40,unripe
939.40,906.10,903.20,unripe
945.70,910.60,904.90,unripe
941.80,905.40,898.80,unripe
938.00,901.50,896.00,unripe
937.30,900.50,895.60,unripe
943.90,907.60,901.90,unripe
942.40,907.20,902.70,unripe
942.10,906.80,902.20,unripe
941.80,908.10,904.30,unripe
943.70,908.90,903.70,unripe
943.50,909.30,904.60,unripe
943.70,909.50,905.10,unripe
947.40,912.60,907.60,unripe
946.80,912.20,908.30,unripe
947.50,912.40,908.40,unripe
948.50,914.00,907.80,unripe
946.70,914.80,913.10,unripe
949.40,916.10,911.30,unripe
948.60,916.40,912.70,unripe
949.40,917.30,913.70,unripe
951.20,917.40,913.60,unripe
950.60,916.50,911.60,unripe
948.80,913.80,909.20,unripe
948.10,913.10,909.40,unripe
949.00,914.00,909.50,unripe
949.40,913.80,909.60,unripe
949.60,913.80,909.50,unripe
950.00,914.30,909.20,unripe
949.90,915.10,911.50,unripe
951.80,916.20,911.90,unripe
951.60,915.90,911.70,unripe
952.50,916.40,910.60,unripe
950.40,915.20,911.40,unripe
953.10,919.00,914.90,unripe
953.90,919.00,914.00,unripe
953.70,920.20,910.30,unripe
946.20,911.20,908.90,unripe
949.70,914.90,909.10,unripe
948.10,909.90,903.20,unripe
952.10,917.10,913.90,unripe
951.70,914.20,908.60,unripe
949.90,914.50,909.50,unripe
948.90,913.00,908.90,unripe
944.70,908.30,903.30,unripe
940.40,904.40,903.20,unripe
941.80,907.40,903.20,unripe
943.10,908.70,904.10,unripe
943.80,910.30,906.30,unripe
835.20,776.20,763.40,unripe
825.30,750.10,678.20,unripe
748.60,668.90,645.80,unripe
718.60,625.40,609.90,unripe
715.00,591.90,610.00,unripe
693.60,611.10,594.50,unripe
693.30,627.30,625.00,unripe
721.60,658.70,637.20,unripe
730.80,649.20,635.90,unripe
719.80,648.40,628.00,unripe
729.50,652.90,644.00,unripe
